date,av_eurusd_close
2017-11-13,1.16644
2017-11-10,1.16630
2017-11-09,1.16432
2017-11-08,1.15935
2017-11-07,1.15929
2017-11-06,1.16089
2017-11-03,1.16050
2017-11-02,1.16572
2017-11-01,1.16184
2017-10-31,1.16495
2017-10-30,1.16432
2017-10-27,1.16060
2017-10-26,1.16455
2017-10-25,1.18153
2017-10-24,1.17645
2017-10-23,1.17494
2017-10-20,1.17830
2017-10-19,1.18470
2017-10-18,1.17944
2017-10-17,1.17682
2017-10-16,1.17920
2017-10-13,1.18199
2017-10-12,1.18348
2017-10-11,1.18627
2017-10-10,1.18107
2017-10-09,1.17411
2017-10-06,1.17259
2017-10-05,1.17102
2017-10-04,1.17608
2017-10-03,1.17423
2017-10-02,1.17383
2017-09-29,1.18130
2017-09-28,1.17806
2017-09-27,1.17423
2017-09-26,1.17895
2017-09-25,1.18554
2017-09-22,1.19510
2017-09-21,1.19409
2017-09-20,1.18895
2017-09-19,1.19940
2017-09-18,1.19564
2017-09-15,1.19418
2017-09-14,1.19188
2017-09-13,1.18934
2017-09-12,1.19716
2017-09-11,1.19624
2017-09-08,1.20350
2017-09-07,1.20187
2017-09-06,1.19251
2017-09-05,1.19206
2017-09-04,1.18979
2017-09-01,1.18570
2017-08-31,1.19128
2017-08-30,1.18959
2017-08-29,1.19744
2017-08-28,1.19678
2017-08-25,1.19240
2017-08-24,1.18029
2017-08-23,1.18115
2017-08-22,1.17636
2017-08-21,1.18093
2017-08-18,1.17600
2017-08-17,1.17266
2017-08-16,1.17775
2017-08-15,1.17374
2017-08-14,1.17781
2017-08-11,1.18241
2017-08-10,1.17656
2017-08-09,1.17626
2017-08-08,1.17592
2017-08-07,1.17920
2017-08-04,1.17720
2017-08-03,1.18772
2017-08-02,1.18512
2017-08-01,1.18054
2017-07-31,1.18310
2017-07-28,1.17510
2017-07-27,1.16841
2017-07-26,1.17343
2017-07-25,1.16460
2017-07-24,1.16370
2017-07-21,1.16590
2017-07-20,1.16268
2017-07-19,1.15270
2017-07-18,1.15505
2017-07-17,1.14768
2017-07-14,1.14613
2017-07-13,1.13957
2017-07-12,1.14159
2017-07-11,1.14699
2017-07-10,1.13965
2017-07-07,1.13980
2017-07-06,1.14220
2017-07-05,1.13532
2017-07-04,1.13531
2017-07-03,1.13662
2017-06-30,1.14270
2017-06-29,1.14426
2017-06-28,1.13775
2017-06-27,1.13430
2017-06-26,1.11804
2017-06-23,1.11830
2017-06-22,1.11499
2017-06-21,1.11668
